A§o,Mes,Nombre Servicio,Servicio en 67A,Cantidad,Senasa,Otros,Sin dato,RD,Haiti,Otros,Sin dato,Masculino,Femenino
2015,6,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,1,0,0,0,0,0,0,1,1,0
2015,6,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,2,1,1,0,0,0,0,2,0,2
2015,6,MAMOGRAFIA BILATERAL,Mamograf°a,7,5,1,0,6,0,0,1,0,7
2015,6,RX-TORAX AP,Radiograf°a,1,1,0,0,1,0,0,0,0,1
2015,6,RX-TORAX PA,Radiograf°a,3,2,1,0,2,0,0,1,0,3
2015,6,SONOGRAFIA ABDOMINAL,Sonograf°a,5,2,0,0,3,1,0,1,0,5
2015,6,SONOGRAFIA DE MAMAS,Sonomamograf°a,18,13,1,0,16,0,0,2,0,18
2015,6,SONOGRAFIA DE TIROIDES,Sonograf°a,1,1,0,0,0,0,0,1,0,1
2015,6,SONOGRAFIA PELVICA,Sonograf°a,2,1,1,0,1,0,0,1,0,2
2015,6,SONOGRAFIA TRANSVAGINAL,Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,7,BIOPSIA DE HUESO ( NO INCLUYE KIT CON AGUJA JAMSHIDI NI INMUNOHISTOQU?,Otros servicios de im†genes,1,1,0,0,0,0,0,1,0,1
2015,7,BIOPSIA POR TOMOGRAFIA ,Tomograf°a,6,2,2,0,4,0,0,2,3,3
2015,7,BIOPSIA PULMON DIRIGIDA POR SONOGRAFIA,Sonograf°a,2,0,0,0,1,0,0,1,1,1
2015,7,BIOPSIA SONODIRIGIDA DE CUELLO (GANGLIOS Y TIROIDES Y MASAS),Sonograf°a,2,2,0,0,1,0,0,1,2,0
2015,7,BIOPSIA SONODIRIGIDA DE MAMAS,Sonograf°a,12,9,2,0,7,0,0,5,0,12
2015,7,BIOPSIA SONODIRIGIDA DE MAMAS CON TRUCUT + AGUJA,Sonograf°a,2,1,0,0,1,0,0,1,0,2
2015,7,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,8,5,0,0,6,0,0,2,7,1
2015,7,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,17,15,0,0,13,0,0,4,3,14
2015,7,BIOPSIA SONODIRIGIDA PARTES BLANDAS (CON TRUCUT),Sonograf°a,4,3,1,0,4,0,0,0,3,1
2015,7,BIOPSIA TOMODIRIGIDA HEPATICA,Sonograf°a,2,2,0,0,1,0,0,1,1,1
2015,7,CITOSCOPIA ,Cistoscop°a,5,5,0,0,4,0,0,1,4,1
2015,7,COLPOSCOPIA CON BIOPSIA,Colposcop°a,8,5,3,0,6,0,0,2,0,8
2015,7,MAMOGRAFIA BILATERAL,Mamograf°a,140,125,9,0,127,0,0,13,0,140
2015,7,MAMOGRAFIA UNILATERAL,Mamograf°a,3,3,0,0,3,0,0,0,0,3
2015,7,MARCAJE 6 PLACAS,Mamograf°a,3,2,1,0,3,0,0,0,0,3
2015,7,RX-COLUMNA LUMBO-SACRA AP Y LATERAL,Radiograf°a,1,1,0,0,1,0,0,0,1,0
2015,7,RX-FEMUR (MUSLO) INCLUYENDO UNA ARTICULACION AP Y LATERAL,Radiograf°a,1,1,0,0,1,0,0,0,1,0
2015,7,RX-HOMBRO AP,Radiograf°a,4,4,0,0,3,0,0,1,0,4
2015,7,RX-MANO (O AMBAS) 2 POSICIONES (AP Y OBLICUA),Radiograf°a,1,1,0,0,1,0,0,0,0,1
2015,7,"RX-MANO (O AMBAS) TRES POSICIONES (AP, LATERAL Y OBLICUA)",Radiograf°a,1,0,1,0,1,0,0,0,0,1
2015,7,RX-MU•ECA UNA POSICION,Radiograf°a,1,1,0,0,0,0,0,1,0,1
2015,7,RX-TORAX 2 POSICIONES (PA Y 1 OBLICUA / PA Y LATERAL),Radiograf°a,10,7,3,0,6,0,0,4,2,8
2015,7,RX-TORAX AP,Radiograf°a,16,14,2,0,12,0,0,4,4,12
2015,7,RX-TORAX PA,Radiograf°a,97,80,12,0,82,0,0,15,18,79
2015,7,SONOGRAFIA ABDOMINAL,Sonograf°a,87,79,7,0,76,0,1,10,17,70
2015,7,SONOGRAFIA DE AXILA,Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,7,SONOGRAFIA DE CUELLO,Sonograf°a,5,4,1,0,5,0,0,0,0,5
2015,7,SONOGRAFIA DE MAMAS,Sonomamograf°a,174,141,17,0,156,0,1,17,2,172
2015,7,SONOGRAFIA DE TIROIDES,Sonograf°a,37,32,5,0,30,0,0,7,2,35
2015,7,SONOGRAFIA ESCROTAL (TESTICULO),Sonograf°a,2,1,0,0,1,0,1,0,2,0
2015,7,SONOGRAFIA PELVICA,Sonograf°a,21,19,2,0,17,0,0,4,3,18
2015,7,SONOGRAFIA PROSTATICA,Sonograf°a,6,5,0,0,5,0,0,1,6,0
2015,7,SONOGRAFIA RENAL,Sonograf°a,1,1,0,0,1,0,0,0,1,0
2015,7,SONOGRAFIA TRANSVAGINAL,Sonograf°a,38,36,2,0,31,0,0,7,0,38
2015,7,TOMA DE MUESTRA PAPANICOLAOU,Cistoscop°a,1,0,0,0,1,0,0,0,0,1
2015,7,TOMOGRAFIA ABDOMEN,Tomograf°a,36,33,1,0,30,0,0,6,11,25
2015,7,TOMOGRAFIA ABDOMEN Y PELVIS,Tomograf°a,16,12,3,0,14,0,0,2,5,11
2015,7,TOMOGRAFIA COLUMNA LUMBAR,Tomograf°a,2,2,0,0,2,0,0,0,0,2
2015,7,TOMOGRAFIA CRANEO,Tomograf°a,15,11,3,0,13,0,0,2,2,13
2015,7,TOMOGRAFIA CUELLO (LARINGE O PARTES BLANDAS),Tomograf°a,9,8,1,0,7,0,0,2,3,6
2015,7,TOMOGRAFIA PELVIS,Tomograf°a,3,3,0,0,3,0,0,0,1,2
2015,7,TOMOGRAFIA SENOS PARA NASALES,Tomograf°a,1,1,0,0,0,0,0,1,1,0
2015,7,TOMOGRAFIA TORAX,Tomograf°a,23,20,2,0,17,0,0,6,5,18
2015,7,TOMOGRAFIA TORAX Y ABDOMEN,Tomograf°a,1,1,0,0,0,0,0,1,1,0
2015,7,ULTRASONOGRAF?A DE PROSTATA TRANSRECTAL,Sonograf°a,4,3,1,0,4,0,0,0,4,0
2015,7,ULTRASONOGRAF?A DE TEJIDOS BLANDOS EN LAS EXTREMIDADES SUPERIORES CON ,Sonograf°a,4,3,1,0,3,0,0,1,1,3
2015,7,"ULTRASONOGRAFIA DIAGNOSTICA DE MAMA, CON TRANSDUCTOR DE 7 MHZ O MAS",Sonograf°a,2,2,0,0,2,0,0,0,0,2
2015,7,UTRASONOGRAFIA PELVICA GINECOLOGICA TRANSVAGINAL,Sonograf°a,2,2,0,0,2,0,0,0,0,2
2015,8,BIOPSIA POR TOMOGRAFIA ,Tomograf°a,5,3,1,0,4,0,0,1,2,3
2015,8,BIOPSIA SONODIRIGIDA DE CUELLO (GANGLIOS Y TIROIDES Y MASAS),Sonograf°a,2,1,1,0,2,0,0,0,0,2
2015,8,BIOPSIA SONODIRIGIDA DE MAMAS,Sonograf°a,19,16,2,0,13,0,0,6,0,19
2015,8,BIOPSIA SONODIRIGIDA DE MAMAS CON TRUCUT + AGUJA,Sonograf°a,6,4,2,0,3,0,0,3,0,6
2015,8,BIOPSIA SONODIRIGIDA DE PROSTATA,Sonograf°a,13,7,2,0,10,0,0,3,12,1
2015,8,BIOPSIA SONODIRIGIDA DE TIROIDES,Sonograf°a,17,9,2,0,14,0,0,3,0,17
2015,8,BIOPSIA SONODIRIGIDA PARTES BLANDAS (CON TRUCUT),Sonograf°a,1,1,0,0,1,0,0,0,0,1
2015,8,BIOPSIA TOMODIRIGIDA HEPATICA,Sonograf°a,4,3,0,0,3,0,0,1,4,0
